Species,Extinction_Year
regulorum,
sechellensis,
sechellarum,[2030]
punctatus,[1976]
ochropectus,[2023]
coprotheres,
africanus,
crumenifer,
monachus,
eques,[2027]
tracheliotos,[2033]
occipitalis,
jubatus,
melampus,[2031]
caama,
buselaphus,
marsupialis,
mesomelas,[2021]
simensis,[2025]
maxwellii,[2022]
rufilatus,[2027]
simum,
albigena,[2064]
galeritus,[2044]
mitis,[2051]
guereza,[2041]
gnou,[2039]
taurinus,[1971]
pygargus,
hunteri,[2022]
korrigum,[1990]
lunatus,
bicornis,[1990]
helvum,
burchellii,[2032]
grevyi,[2028]
zebra,[2041]
granti,[2005]
camelopardalis,[2030]
beringei,[2056]
equinus,
niger,[2033]
ellipsiprymnus,[2099]
kob,[2085]
africana,[2022]
pictus,[2012]
natalensis,[2021]
dammah,[1996]
ourebi,[2009]
leo,
hamadryas,
rufomitratus,[2023]
tephrosceles,
livingstonii,
rodricensis,
voeltzkowi,
fulvorufula,
redunca,[2010]
grimmia,[2028]
caffer,
derbianus,[2025]
oryx,
angasii,
buxtoni,[2044]
scriptus,
spekii,
strepsiceros,
dussumieri,[1976]
telfairii,[2033]
serpensinsula,
guentheri,[2031]
ornata,
bojerii,[2031]
australis,
haastii,[2034]
owenii,
wilsoni,
novaezelandiae,[2029]
discolor,[2036]
chrysogaster,
nigrogularis,
krefftii,[2037]
fuliginosus,[2030]
giganteus,[2023]
gunnii,[2000]
brachyurus,[2023]
vulpecula,[2033]
bailleui,[2030]
cantans,[2035]
ultramarina,[1998]
mariannus,[2028]
bengalensis,[2006]
axis,
porcinus,
frontalis,
tragocamelus,
bubalis,
duvaucelii,
elaphus,
unicolor,
maximus,
hemionus,
bennettii,[2064]
hylocrius,
silenus,
ammon,[2023]
aries,
pardus,[2047]
tigris,[2024]
sondaicus,[2029]
unicornis,[2040]
quadricornis,
poliocephalus,[2048]
francoisi,
xanthomus,[2022]
arausiaca,[2040]
leucocephala,[2042]
barbadensis,
versicolor,[2031]
vittata,[2039]
platypterus,[2029]
wagneri,[1989]
bisulcus,
chrysomelas,[2031]
oerstedii,[2006]
bairdii,
vicugna,
cornuta,[2101]
pinguis,[2058]
cannabina,[2038]
gentilis,[2030]
nisus,
arvensis,[2033]
albifrons,
brachyrhynchus,[2045]
erythropus,
fabalis,
trivialis,
apus,[2050]
chrysaetos,
pomarina,[2042]
bernicla,
canadensis,[2041]
leucopsis,[2045]
ruficollis,
bonasia,[2056]
oedicnemus,[2034]
buteo,[2034]
lagopus,
temminckii,[2035]
chloris,
flammea,[2043]
spinus,[2045]
familiaris,[2038]
aeruginosus,[1971]
livia,
oenas,
palumbus,
corax,[2054]
corone,
monedula,[2046]
crex,[2035]
canorus,[2055]
urbicum,
leucotos,[2026]
major,[2053]
martius,
cirlus,[2030]
schoeniclus,[2042]
citrinella,
rubecula,
peregrinus,[2048]
subbuteo,[2034]
tinnunculus,
hypoleuca,
coelebs,
montifringilla,[2043]
glandarius,[2050]
eremita,
fasciata,[2051]
icterina,
rustica,
torquilla,[2043]
collurio,[2027]
arborea,
luscinia,
tetrix,
calandra,[2073]
milvus,
alba,
striata,[2040]
percnopterus,[2045]
caryocatactes,
arquata,[2064]
phaeopus,
oenanthe,
tarda,[2034]
ater,
caeruleus,[2040]
cristatus,
montanus,
palustris,
domesticus,[2036]
perdix,
colchicus,
phoenicurus,[2053]
collybita,[2029]
sibilatrix,[2041]
trochiloides,
trochilus,
pica,
viridis,[2050]
apricaria,
modularis,
pyrrhula,[2053]
regulus,
rubetra,[2035]
rusticola,[2036]
europaea,[2049]
longicaudus,
turtur,
aluco,
uralensis,
vulgaris,
atricapilla,
communis,
curruca,[2044]
urogallus,[2029]
nebularia,
troglodytes,
iliacus,[2036]
merula,
philomelos,[2037]
pilaris,
vanellus,[2026]
melanoleuca,
alces,
bonasus,[2062]
lupus,
hircus,
caucasica,[2039]
falconeri,[2051]
ibex,
nubiana,
capreolus,[2049]
rufocanus,
dama,[2044]
cuvieri,
gulo,
lemmus,[2028]
lynx,[1971]
pardinus,[2030]
bobak,[2053]
pipistrellus,
gutturosa,[2029]
przewalskii,[2032]
tarandus,[2049]
rupicapra,
borealis,
tatarica,[2017]
arctos,
hermanni,[2033]
archeyi,
pakeka,
frosti,[1998]
corroboree,[1997]
pengilleyi,[1997]
superciliosa,[2049]
semipalmata,
novaeguineae,[2026]
porosus,[1972]
umbrina,[2079]
adspersus,
rudis,[2049]
carunculatus,
vocifer,[2029]
rufescens,
pugnax,
minor,[2090]
amphibius,[2064]
niloticus,[2028]
phaeomerus,[2030]
aspera,[2047]
divergens,[2031]
hosii,
blythii,
chalconota,
ibanorum,
signata,[2069]
melanogaster,[2022]
melanolophus,[2041]
nycticorax,[2021]
crispus,[2022]
onocrotalus,[2046]
philippensis,[2008]
carbo,[2021]
gangetica,[2025]
baska,[2029]
borneoensis,
mindorensis,[2067]
gangeticus,
transmontanus,[2022]
pseudoharengus,
sapidissima,
liorus,[2021]
clupeaformis,[2025]
hoyi,[1974]
nevadae,[1979]
fonticola,[2048]
robustum,[2037]
crysoleucas,
cahabae,[2020]
gorbuscha,
keta,[2034]
kisutch,[2034]
nerka,[2006]
tshawytscha,[1991]
flavescens,
salar,[2021]
confluentus,
namaycush,
vitreus,[2036]
texanus,[2029]
gryllus,[2035]
laterale,[2039]
maculatum,
opacum,[1980]
talpoideum,
tigrinum,[2026]
aeneus,[2035]
hardii,
americanus,[2024]
boreas,[2032]
fowleri,
quercicus,[2000]
terrestris,[2027]
monticola,
ochrophaeus,[2051]
quadramaculatus,
planirostris,
nana,
quadridigitata,[2003]
carolinensis,[2020]
femoralis,[2001]
perstriatus,[1997]
viridescens,[2028]
glutinosus,
jordani,
crucifer,[2033]
nigrita,[1995]
ocularis,[1998]
maculata,
capito,[2026]
catesbeianus,[2027]
clamitans,[2027]
pipiens,[2032]
septentrionalis,
sylvaticus,[2067]
sphenocephalus,[2029]
yavapaiensis,[2022]
holbrookii,[2021]
acuta,[2034]
americana,[2036]
clypeata,[2034]
crecca,[2035]
platyrhynchos,
discors,[2035]
fulvigula,
rubripes,[2043]
strepera,[2064]
affinis,
collaris,
valisineria,[2044]
albeola,
islandica,
autumnalis,
bicolor,[1971]
delicata,
immer,[2068]
leucocephalus,
philadelphia,
fedoa,[2035]
jamaicensis,[2023]
tricolor,[2049]
carolina,[2033]
hirundo,[2071]
manatus,[2036]
calypsa,[2027]
andinus,[2036]
chilensis,[2030]
jamesi,
taczanowskii,[2031]
gigas,[1996]
rolland,[2029]
acutus,[2064]
expansa,[2031]
ballerus,[2025]
bjoerkna,[2056]
brama,
alburnus,[2028]
anguilla,[2075]
aspius,[2004]
gibelio,[2021]
carassius,[2030]
taenia,[2022]
albula,[2092]
lavaretus,
carpio,[2004]
lucius,[2030]
aculeatus,[2023]
gobio,[2031]
cernua,
huso,[2066]
cephalus,
idus,[2004]
leuciscus,
lota,[2004]
fossilis,[2023]
barbatula,[2027]
fluviatilis,[2085]
rutilus,[2062]
trutta,
erythrophthalmus,
glanis,[2022]
lucioperca,[2087]
tinca,[2021]
bufo,[2023]
calamita,
dalmatina,[2032]
temporaria,
scirpaceus,
hypoleucos,
formosa,[2027]
penelope,[2061]
querquedula,
anser,[2028]
cinerea,
purpurea,[2035]
ralloides,
ferina,
fuligula,
nyroca,[2028]
stellaris,[2049]
clangula,[2036]
ciconia,[2036]
columbianus,
cygnus,[2043]
olor,[2035]
garzetta,[2035]
atra,[2027]
gallinago,[2030]
japonensis,
monacha,
vipio,[2035]
minimus,[2075]
angustirostris,[2021]
albellus,
merganser,[2052]
serrator,
rufina,[2048]
haliaetus,[2035]
lobatus,
